DENOM_CIA,cnpj,SETOR_ATIV,DT_REFER,total_assets,equity,net_revenue,net_income,ebit,current_ratio,debt_to_equity,gross_margin,net_margin,roe,roa,altman_zscore,altman_zone,default_flag
PRIO FORTE S.A.,08926302000105,Petróleo e Gás,2024-12-31,47107502000.0,22271345000.0,2348825000.0,6445650000.0,378208000.0,1.3402641450622095,0.8408065161758305,0.17394101305972134,2.744201888178132,0.28941449203000535,0.13682852467957227,1.1490556433545416,GREY,0
YOU INC INCORPORADORA E PARTICIPAÇÃO S.A,11284204000118,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,2050612000.0,206896000.0,1139569000.0,-4301000.0,62742000.0,1.8282503199748747,4.784901593070915,0.14410799170563607,-0.003774233942832773,-0.020788222101925605,-0.0020974226230998354,3.0730850390291624,SAFE,0
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11992680000193,Seguradoras e Corretoras,2024-12-31,4366325000.0,1301570000.0,1580459000.0,15063000.0,185348000.0,1.1027714309470358,1.4458315726391973,0.8314913578903343,0.009530775553177906,0.011572946518435427,0.003449811912764167,0.9777259352663834,DISTRESS,0
OLIVEIRA TRUST S.A.,21110778000123,Intermediação Financeira,2024-12-31,466685000.0,100557000.0,295530000.0,103558000.0,121622000.0,1.1897229387843133,0.0,1.0,0.3504145095252597,1.029843770199986,0.22190128244961804,2.979409651336115,SAFE,0
SUZANO S.A.,16404287000155,Papel e Celulose,2024-12-31,165936105000.0,32415575000.0,47403282000.0,-7044706000.0,15691092000.0,1.7233052882150448,3.129222017502389,0.4219487376422586,-0.14861219946753898,-0.21732472738799172,-0.0424543290322501,1.5928824071450642,GREY,0
DIRECIONAL ENGENHARIA S.A.,16614075000100,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,10067406000.0,2223751000.0,3348470000.0,727668000.0,754979000.0,3.030703586283893,0.7344999507588754,0.36385065417937146,0.2173135790375903,0.3272254852274378,0.07227959218094512,2.864976032355971,SAFE,0
LOCALIZA RENT A CAR S.A.,16670085000155,Serviços Transporte e Logística,2024-12-31,87243607000.0,26342714000.0,37271558000.0,1813310000.0,5805169000.0,1.1732082353447262,1.6993897060113092,0.23484025003730727,0.048651306714895044,0.0688353523482812,0.020784445558286006,1.132348693403718,GREY,0
HOSPITAL MATER DEI S.A.,16676520000159,Serviços Médicos,2024-12-31,4340852000.0,1476425000.0,2226001000.0,-323904000.0,-335847000.0,3.161373827616896,0.963761112145893,0.3012563785910249,-0.14550936859417404,-0.21938398496367917,-0.07461760963055179,1.5690643592878981,GREY,0
ALPHAVILLE S.A.,16811931000100,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,1364835000.0,-31815000.0,678829000.0,85202000.0,145124000.0,0.8389853900118546,-19.57972654408298,0.3883466970326842,0.12551319993695026,-2.678044947351878,0.062426593690812444,0.27247416468144636,DISTRESS,1
XP INVESTIMENTOS S.A.,16838421000126,Emp. Adm. Part. - Sem Setor Principal,2024-12-31,79617208000.0,225000.0,7091220000.0,422317000.0,886586000.0,0.18915811850810946,0.0,0.07338821810633431,0.059554914387087134,1876.9644444444446,0.005304343252026622,-0.08852412796656157,DISTRESS,0
